      Type       |        Subtype        |   Base   |   Size   |  CRC32   |   Name 
 Capsule         | Aptio signed          | 00000000 | 02001000 | 82A738E0 |  AMI Aptio capsule
 Image           | UEFI                  | 00001000 | 02000000 | EF3093A6 | - UEFI image
 Padding         | Non-empty             | 00001000 | 01000000 | 700C26C7 | -- Padding
 Volume          | FFSv3                 | 01001000 | 00B3F000 | 31A5074A | -- 4F1C52D3-D824-4D2A-A2F0-EC40C23C5916
 File            | Volume image          | 01001078 | 00001038 | 2056E6A9 | --- 54F7572F-1FD1-44DA-B635-0E49CAD1E4EF
 Section         | PEI dependency        | 01001090 | 00000006 | 2F69219B | ---- PEI dependency section
 Section         | DXE dependency        | 01001098 | 00000006 | 217A7023 | ---- DXE dependency section
 Section         | Raw                   | 010010A0 | 0000000C | 7EBC7FC4 | ---- Raw section
 Section         | Volume image          | 010010AC | 00001004 | 8A0CC213 | ---- Volume image section
 Volume          | FFSv2                 | 010010B0 | 00001000 | F5DF79E7 | ----- 34E280D7-8B23-40E9-9647-B3AB8A20E58A
 Free space      |                       | 01001128 | 00000F88 | D2A79770 | ------ Volume free space
 File            | Volume image          | 010020B0 | 0000ABDD | 436CB732 | --- 84366C9E-CD61-4B6E-8BC7-384541382842
 Section         | PEI dependency        | 010020C8 | 00000006 | 367210DA | ---- PEI dependency section
 Section         | DXE dependency        | 010020D0 | 00000006 | 217A7023 | ---- DXE dependency section
 Section         | GUID defined          | 010020D8 | 0000ABB5 | DCA3E5BF | ---- EE4E5898-3914-4259-9D6E-DC7BD79403CF
 Section         | Raw                   |   N/A    | 0000000C | 7EBC7FC4 | ----- Raw section
 Section         | Volume image          |   N/A    | 0001A004 | 106EA6DF | ----- Volume image section
 Volume          | FFSv2                 |   N/A    | 0001A000 | D54C2FB6 | ------ 51C81E99-DF1A-4DC5-9966-0B8D9AA09CAD
 File            | DXE driver            |   N/A    | 00000C52 | AEEA8FA2 | ------- 71ED12D1-250B-42FB-8C17-10DCFA771701
 Section         | DXE dependency        |   N/A    | 00000028 | 79E02601 | -------- DXE dependency section
 Section         | PE32 image            |   N/A    | 00000C04 | DA8F1CF8 | -------- PE32 image section
 Section         | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File            | DXE driver            |   N/A    | 00002676 | 63AC6A87 | ------- 59242DD8-E7CF-4979-B60E-A6067E2A185F
 Section         | DXE dependency        |   N/A    | 0000004C | D8716CE5 | -------- DXE dependency section
 Section         | PE32 image            |   N/A    | 00002604 | 1E6ED008 | -------- PE32 image section
 Section         | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File            | DXE driver            |   N/A    | 0000DCAE | 3C541A24 | ------- A062CF1F-8473-4AA3-8793-600BC4FFE9A8
 Section         | DXE dependency        |   N/A    | 00000082 | 4A357DE8 | -------- DXE dependency section
 Section         | PE32 image            |   N/A    | 0000DC04 | EA9C1DAE | -------- PE32 image section
 Section         | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File            | DXE driver            |   N/A    | 0000341A | 94CF2E11 | ------- 25ACF158-DD61-4E64-9A49-55851E9A26C7
 Section         | DXE dependency        |   N/A    | 000000EE | 96D65050 | -------- DXE dependency section
 Section         | PE32 image            |   N/A    | 00003304 | F4E99B2A | -------- PE32 image section
 Section         | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File            | DXE driver            |   N/A    | 0000481A | ECEE85E1 | ------- 29CF55F8-B675-4F5D-8F2F-B87A3ECFD063
 Section         | DXE dependency        |   N/A    | 000000EE | 96D65050 | -------- DXE dependency section
 Section         | PE32 image            |   N/A    | 00004704 | 89929411 | -------- PE32 image section
 Section         | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File            | Freeform              |   N/A    | 000004B2 | 7CBC8218 | ------- A08276EC-A0FE-4E06-8670-385336C7D093
 Section         | Raw                   |   N/A    | 0000049A | 0B18016F | -------- Raw section
 Free space      |                       |   N/A    | 00000F10 | 25284E22 | ------- Volume free space
 File            | Volume image          | 0100CC90 | 000C92A5 | 639808FA | --- C0492C7F-75E2-487C-B2DD-000E6CF7B905
 Section         | PEI dependency        | 0100CCA8 | 00000006 | 367210DA | ---- PEI dependency section
 Section         | DXE dependency        | 0100CCB0 | 00000006 | 217A7023 | ---- DXE dependency section
 Section         | GUID defined          | 0100CCB8 | 000C927D | 99B88214 | ---- EE4E5898-3914-4259-9D6E-DC7BD79403CF
 Section         | Raw                   |   N/A    | 0000000C | 7EBC7FC4 | ----- Raw section
 Section         | Volume image          |   N/A    | 0023F004 | 8829FAE3 | ----- Volume image section
 Volume          | FFSv2                 |   N/A    | 0023F000 | D2E766CA | ------ E5274881-D739-4209-9882-7C564B19E263
 File            | DXE driver            |   N/A    | 00026192 | FB9F3521 | ------- 755DFF82-93BE-4E9F-891F-955909D1EA19
 Section         | DXE dependency        |   N/A    | 00000016 | 2AF11492 | -------- DXE dependency section
 Section         | PE32 image            |   N/A    | 00026154 | 78333473 | -------- PE32 image section
 Section         | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File            | DXE driver            |   N/A    | 00005D1A | 5800739C | ------- A2F436EA-A127-4EF8-957C-8048606FF670
 Section         | DXE dependency        |   N/A    | 000000EE | FAF21210 | -------- DXE dependency section
 Section         | PE32 image            |   N/A    | 00005C04 | E5440919 | -------- PE32 image section
 Section         | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File            | DXE driver            |   N/A    | 00000E42 | EB6F6BCC | ------- A210F973-229D-4F4D-AA37-9895E6C9EABA
 Section         | DXE dependency        |   N/A    | 00000016 | 1C339288 | -------- DXE dependency section
 Section         | PE32 image            |   N/A    | 00000E04 | AA4F150A | -------- PE32 image section
 Section         | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File            | DXE driver            |   N/A    | 0000771A | 1E247D32 | ------- 025BBFC7-E6A9-4B8B-82AD-6815A1AEAF4A
 Section         | DXE dependency        |   N/A    | 000000EE | FAF21210 | -------- DXE dependency section
 Section         | PE32 image            |   N/A    | 00007604 | 7479074C | -------- PE32 image section
 Section         | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File            | DXE driver            |   N/A    | 0000381A | D463700E | ------- 529D3F93-E8E9-4E73-B1E1-BDF6A9D50113
 Section         | DXE dependency        |   N/A    | 000000EE | FAF21210 | -------- DXE dependency section
 Section         | PE32 image            |   N/A    | 00003704 | 2AE072C4 | -------- PE32 image section
 Section         | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File            | DXE driver            |   N/A    | 0000CD2A | 431CB49D | ------- 1A7E4468-2F55-4A56-903C-01265EB7622B
 Section         | DXE dependency        |   N/A    | 00000100 | A4803997 | -------- DXE dependency section
 Section         | PE32 image            |   N/A    | 0000CC04 | B2C4FCA8 | -------- PE32 image section
 Section         | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File            | DXE driver            |   N/A    | 0001091A | 9378D794 | ------- B95E9FDA-26DE-48D2-8807-1F9107AC5E3A
 Section         | DXE dependency        |   N/A    | 000000EE | FAF21210 | -------- DXE dependency section
 Section         | PE32 image            |   N/A    | 00010804 | 3B5563DB | -------- PE32 image section
 Section         | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File            | DXE driver            |   N/A    | 0000F94E | 88A0AA75 | ------- ECEBCB00-D9C8-11E4-AF3D-8CDCD426C973
 Section         | DXE dependency        |   N/A    | 000000EE | 462AD1C3 | -------- DXE dependency section
 Section         | Raw                   |   N/A    | 00000034 | EA26E6CE | -------- Raw section
 Section         | PE32 image            |   N/A    | 0000F804 | D2DF1697 | -------- PE32 image section
 Section         | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File            | DXE driver            |   N/A    | 0000A51A | 5A9DAD0B | ------- 2366C20F-E15A-11E3-8BF1-E4115B28BC50
 Section         | DXE dependency        |   N/A    | 000000EE | BEBF6D08 | -------- DXE dependency section
 Section         | PE32 image            |   N/A    | 0000A404 | 29E2B25B | -------- PE32 image section
 Section         | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File            | DXE driver            |   N/A    | 0000A91A | 1F754A5D | ------- B219E140-DFFC-11E3-B956-0022681E6906
 Section         | DXE dependency        |   N/A    | 000000EE | 56B6C15E | -------- DXE dependency section
 Section         | PE32 image            |   N/A    | 0000A804 | 34282B13 | -------- PE32 image section
 Section         | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File            | DXE driver            |   N/A    | 00001452 | 66E24B91 | ------- 22EA234F-E72A-11E4-91F9-28D2447C4829
 Section         | DXE dependency        |   N/A    | 00000028 | 671FC2CD | -------- DXE dependency section
 Section         | PE32 image            |   N/A    | 00001404 | E02797F3 | -------- PE32 image section
 Section         | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File            | DXE driver            |   N/A    | 0016A52A | D2565CD2 | ------- 3ACEB0C0-3C72-11E4-9A56-74D435052646
 Section         | PE32 image            |   N/A    | 0016A504 | 21F69716 | -------- PE32 image section
 Section         | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File            | DXE driver            |   N/A    | 00008A1A | 67AEF28A | ------- 94734718-0BBC-47FB-96A5-EE7A5AE6A2AD
 Section         | DXE dependency        |   N/A    | 000000EE | FAF21210 | -------- DXE dependency section
 Section         | PE32 image            |   N/A    | 00008904 | 859E3AB7 | -------- PE32 image section
 Section         | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File            | DXE driver            |   N/A    | 0001174E | 21807ED8 | ------- 9FB1A1F3-3B71-4324-B39A-745CBB015FFF
 Section         | DXE dependency        |   N/A    | 000000EE | FAF21210 | -------- DXE dependency section
 Section         | Raw                   |   N/A    | 00000034 | 7C4ABC15 | -------- Raw section
 Section         | PE32 image            |   N/A    | 00011604 | 620695AA | -------- PE32 image section
 Section         | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File            | DXE driver            |   N/A    | 00007C1A | 99F20147 | ------- DC3641B8-2FA8-4ED3-BC1F-F9962A03454B
 Section         | DXE dependency        |   N/A    | 000000EE | FAF21210 | -------- DXE dependency section
 Section         | PE32 image            |   N/A    | 00007B04 | 719BF8C3 | -------- PE32 image section
 Section         | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File            | DXE driver            |   N/A    | 0000761A | F8D0A17E | ------- 6D6963AB-906D-4A65-A7CA-BD40E5D6AF2B
 Section         | DXE dependency        |   N/A    | 000000EE | FAF21210 | -------- DXE dependency section
 Section         | PE32 image            |   N/A    | 00007504 | FE530149 | -------- PE32 image section
 Section         | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File            | DXE driver            |   N/A    | 0001854E | 565362DF | ------- 5BEDB5CC-D830-4EB2-8742-2D4CC9B54F2C
 Section         | DXE dependency        |   N/A    | 000000EE | FAF21210 | -------- DXE dependency section
 Section         | Raw                   |   N/A    | 00000034 | E9168914 | -------- Raw section
 Section         | PE32 image            |   N/A    | 00018404 | 5739A07F | -------- PE32 image section
